stem,folders
IMG_4083,2023.2;2025.2
IMG_4087,2023.2;2025.2
IMG_4159,2024.5;2025.2
IMG_4174,2024.5;2025.2
IMG_4685,2023.2;2025.2
IMG_4854,2024.5;2025.2
IMG_4858,2024.5;2025.2
IMG_4859,2024.5;2025.2
IMG_4860,2024.5;2025.2
IMG_4861,2024.5;2025.2
IMG_4863,2024.5;2025.2
IMG_4868,2024.5;2025.2
IMG_4874,2024.5;2025.2
IMG_4877,2024.5;2025.2
IMG_4913,2024.5;2025.2
IMG_4924,2024.5;2025.2
IMG_4938,2024.5;2025.2
IMG_4961,2024.5;2025.2
IMG_5008,2024.5;2025.2
IMG_5010,2024.5;2025.2
IMG_5011,2024.5;2025.2
IMG_5063,2024.1;2025.2
IMG_5072,2024.1;2024.5
IMG_5082,2023.2;2024.5
IMG_5102,2023.2;2025.2
IMG_5103,2023.2;2025.2
IMG_5107,2024.1;2025.2
IMG_5159,2024.1;2024.5
IMG_5167,2024.1;2025.2
IMG_5184,2024.1;2024.5
IMG_5206,2024.5;2025.2
IMG_5218,2024.2;2024.5;2025.2
IMG_5236,2024.1;2024.5
IMG_5258,2024.1;2024.5
IMG_5272,2024.1;2025.2
IMG_5279,2024.1;2025.2
IMG_5283,2024.1;2024.5
IMG_5285,2024.5;2025.2
IMG_5286,2024.5;2025.2
IMG_5300,2024.2;2025.2
IMG_5313,2024.2;2024.5;2025.2
IMG_5323,2024.5;2025.2
IMG_5328,2024.2;2025.2
IMG_5342,2024.2;2025.2
IMG_5358,2024.2;2025.2
IMG_5363,2024.5;2025.2
IMG_5368,2024.5;2025.2
IMG_5381,2024.5;2025.2
IMG_5393,2025.1;2025.2
IMG_5395,2025.1;2025.2
IMG_5398,2024.5;2025.2
IMG_5576,2024.5;2025.2
IMG_5584,2025.1;2025.2
IMG_5637,2024.5;2025.2
IMG_5680,2024.2;2025.2
IMG_5692,2024.2;2025.2
IMG_5694,2024.5;2025.2
IMG_5701,2024.2;2025.2
IMG_5712,2024.2;2025.2
IMG_5722,2024.5;2025.2
IMG_5723,2024.5;2025.2
IMG_5724,2024.5;2025.2
IMG_5725,2024.2;2025.2
IMG_5726,2024.2;2025.2
IMG_5734,2024.5;2025.2
IMG_5735,2024.5;2025.2
IMG_5736,2024.5;2025.2
IMG_5740,2024.2;2025.2
IMG_5744,2024.2;2025.2
IMG_5746,2024.2;2024.5;2025.2
IMG_5749,2024.2;2025.2
IMG_5754,2024.2;2025.2
IMG_5756,2024.5;2025.2
IMG_5758,2024.5;2025.2
IMG_5772,2025.1;2025.2
IMG_5773,2024.2;2025.2
IMG_5774,2024.2;2025.1;2025.2
IMG_5776,2025.1;2025.2
IMG_5778,2025.1;2025.2
IMG_5783,2024.2;2025.2
IMG_5796,2024.2;2025.2
IMG_5800,2024.2;2025.2
IMG_5801,2024.2;2025.2
IMG_5805,2024.2;2025.2
IMG_5822,2024.3;2025.2
IMG_5830,2024.3;2025.2
IMG_5838,2024.3;2025.2
IMG_5854,2024.3;2025.2
IMG_5855,2024.3;2025.2
IMG_5862,2024.3;2025.2
IMG_5863,2024.3;2025.2
IMG_5865,2024.3;2025.2
IMG_5881,2024.3;2025.2
IMG_5905,2024.3;2025.2
IMG_5914,2024.3;2025.2
IMG_5918,2024.3;2025.2
IMG_5997,2024.4;2025.2
IMG_6018,2024.4;2025.2
IMG_6085,2024.4;2025.2
IMG_6109,2024.4;2025.2
IMG_6320,2024.4;2025.2
IMG_6321,2024.4;2025.2
IMG_6569,2024.5;2025.2
IMG_6581,2024.5;2025.2
IMG_6650,2024.5;2025.2
IMG_6659,2024.5;2025.2
IMG_6661,2024.5;2025.2
IMG_6663,2024.5;2025.2
IMG_6667,2024.5;2025.2
IMG_6682,2024.5;2025.2
IMG_6683,2024.5;2025.2
IMG_6689,2024.5;2025.2
IMG_6692,2024.5;2025.2
IMG_6752,2024.5;2025.2
IMG_6757,2024.5;2025.2
IMG_6758,2024.5;2025.2
IMG_6868,2024.5;2025.2
IMG_6875,2024.5;2025.2
IMG_7192,2024.5;2025.2
IMG_7283,2024.5;2025.2
IMG_7296,2025.2;2025.3
IMG_7297,2025.2;2025.3
IMG_7298,2025.2;2025.3
IMG_7299,2025.2;2025.3
IMG_7302,2025.2;2025.3
IMG_7305,2025.2;2025.3
IMG_7309,2025.2;2025.3
IMG_7311,2025.2;2025.3
IMG_7320,2025.2;2025.3
IMG_7321,2025.2;2025.3
IMG_7322,2025.2;2025.3
IMG_7329,2025.2;2025.3
IMG_7331,2025.2;2025.3
IMG_7342,2025.2;2025.3
IMG_7351,2025.2;2025.3
IMG_7353,2024.5;2025.2;2025.3
IMG_7355,2025.2;2025.3
IMG_7356,2025.2;2025.3
IMG_7536,2024.2;2025.3
IMG_7776,2024.2;2025.3
IMG_7783,2024.2;2025.3
IMG_7786,2024.2;2025.3
IMG_7921,2024.2;2025.4
IMG_7924,2024.2;2025.4
IMG_7928,2024.2;2025.4
IMG_7929,2024.3;2025.4
IMG_7958,2024.3;2025.4
IMG_7963,2024.3;2025.4
IMG_7966,2024.3;2025.4
IMG_7967,2024.3;2025.4
IMG_7975,2024.3;2025.4
IMG_7983,2024.3;2025.4
IMG_7990,2024.3;2025.4
IMG_8007,2024.3;2025.4
IMG_8063,2024.3;2025.4
IMG_8064,2024.3;2025.4
IMG_8068,2024.3;2025.4
IMG_8097,2024.3;2025.4
IMG_8101,2024.3;2025.4
IMG_8107,2024.3;2025.4
IMG_8114,2024.3;2025.4
IMG_8118,2024.3;2025.4
IMG_8120,2024.3;2025.4
IMG_8271,2024.3;2025.4
IMG_8330,2024.3;2025.4
IMG_8331,2024.3;2025.4
IMG_8341,2024.3;2025.4
IMG_8356,2024.3;2025.4
IMG_8373,2024.3;2025.4
IMG_8380,2024.3;2025.4
IMG_8393,2024.3;2025.4
IMG_8532,2024.3;2025.4
IMG_8545,2024.3;2025.4
IMG_8559,2024.3;2025.4
IMG_8568,2024.3;2025.4
IMG_8578,2024.3;2025.4
IMG_8609,2024.3;2025.4
IMG_8611,2024.3;2025.4
IMG_8662,2024.3;2025.4
IMG_8743,2024.3;2025.4
IMG_8750,2024.3;2025.4
IMG_8751,2024.3;2025.4
IMG_8752,2024.3;2025.4
IMG_8762,2024.3;2025.4
IMG_8765,2024.3;2025.4
IMG_9564,2024.4;2024.5
IMG_9646,2024.4;2024.5
IMG_9920,2024.4;2024.6
JIIS5336,2024.2;2024.3
KCRS0638,2024.3;2024.4
_1190775,2018.6;2018.7
_1190777,2018.6;2018.7
_1190779,2018.6;2018.7
_1190781,2018.6;2018.7
_1190782,2018.6;2018.7
_1190784,2018.6;2018.7
_1190786,2018.6;2018.7
_1190792,2018.6;2018.7
_1190793,2018.6;2018.7
_1190794,2018.6;2018.7
_1190798,2018.6;2018.7
_1190800,2018.6;2018.7
_1190801,2018.6;2018.7
_1190803,2018.6;2018.7
_1190805,2018.6;2018.7
_1190806,2018.6;2018.7
_1190807,2018.6;2018.7
_1190808,2018.6;2018.7
_1190809,2018.6;2018.7
_1190813,2018.6;2018.7
_1190814,2018.6;2018.7
_1190815,2018.6;2018.7
_1190816,2018.6;2018.7
_1190817,2018.6;2018.7
_1190818,2018.6;2018.7
_1190821,2018.6;2018.7
_1190822,2018.6;2018.7
_1190824,2018.6;2018.7
_1190826,2018.6;2018.7
_1190827,2018.6;2018.7
_1190828,2018.6;2018.7
_1190832,2018.6;2018.7
_1190833,2018.6;2018.7
_1190834,2018.6;2018.7
_1190837,2018.6;2018.7
_1190840,2018.6;2018.7
_1190841,2018.6;2018.7
_1190842,2018.6;2018.7
_1190843,2018.6;2018.7
_1190845,2018.6;2018.7
_1190846,2018.6;2018.7
_1190847,2018.6;2018.7
_1190848,2018.6;2018.7
_1190849,2018.6;2018.7
_1190850,2018.6;2018.7
_1190851,2018.6;2018.7
_1190852,2018.6;2018.7
_1190853,2018.6;2018.7
_1190854,2018.6;2018.7
_1190855,2018.6;2018.7
_1190856,2018.6;2018.7
_1190857,2018.6;2018.7
_1190858,2018.6;2018.7
_1190860,2018.6;2018.7
_1190861,2018.6;2018.7
_1190863,2018.6;2018.7
_1190864,2018.6;2018.7
_1190865,2018.6;2018.7
_1190866,2018.6;2018.7
_1190868,2018.6;2018.7
_1190871,2018.6;2018.7
_1190874,2018.6;2018.7
_1190877,2018.6;2018.7
_1190878,2018.6;2018.7
_1190880,2018.6;2018.7
_1190881,2018.6;2018.7
_1190883,2018.6;2018.7
_1190889,2018.6;2018.7
_1190890,2018.6;2018.7
_1190891,2018.6;2018.7
_1190893,2018.6;2018.7
_1190897,2018.6;2018.7
_1190900,2018.6;2018.7
_1190906,2018.6;2018.7
_1190910,2018.6;2018.7
_1190911,2018.6;2018.7
_1190919,2018.6;2018.7
_1190921,2018.6;2018.7
_1190922,2018.6;2018.7
_1190928,2018.6;2018.7
_1190929,2018.6;2018.7
_1190931,2018.6;2018.7
_1190934,2018.6;2018.7
_1190937,2018.6;2018.7
_1190943,2018.6;2018.7
_1190944,2018.6;2018.7
_1190946,2018.6;2018.7
_1190947,2018.6;2018.7
_1190948,2018.6;2018.7
_1190953,2018.6;2018.7
_1190954,2018.6;2018.7
_1190955,2018.6;2018.7
_1190956,2018.6;2018.7
_1190962,2018.6;2018.7
_1190963,2018.6;2018.7
_1190964,2018.6;2018.7
_1190965,2018.6;2018.7
_1190966,2018.6;2018.7
_1190968,2018.6;2018.7
_1190970,2018.6;2018.7
_1190971,2018.6;2018.7
_1190973,2018.6;2018.7
_1190974,2018.6;2018.7
_1190975,2018.6;2018.7
_1190977,2018.6;2018.7
_1190978,2018.6;2018.7
_1190979,2018.6;2018.7
_1190985,2018.6;2018.7
_1190988,2018.6;2018.7
_1190989,2018.6;2018.7
_1190992,2018.6;2018.7
_1190993,2018.6;2018.7
_1190995,2018.6;2018.7
_1190996,2018.6;2018.7
_1200001,2018.6;2018.7
_1200003,2018.6;2018.7
_1200004,2018.6;2018.7
_1200005,2018.6;2018.7
_1200006,2018.6;2018.7
_1200012,2018.6;2018.7
_1200014,2018.6;2018.7
_1200016,2018.6;2018.7
_1200019,2018.6;2018.7
_1200024,2018.6;2018.7
_1200029,2018.6;2018.7
_1200030,2018.6;2018.7
_1200031,2018.6;2018.7
_1200032,2018.6;2018.7
_1200033,2018.6;2018.7
_1200036,2018.6;2018.7
_1200040,2018.6;2018.7
_1200044,2018.6;2018.7
_1200045,2018.6;2018.7
_1200052-Pano,2018.6;2018.7
_B230814,2019.13;2019.14
_B230817,2019.13;2019.14
_D5C0020,2018.3;2021.1
