jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6286,ok,data/jpg/2019.4/_D8S6286.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6286.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6299,ok,data/jpg/2019.4/_D8S6299.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6299.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6300,ok,data/jpg/2019.4/_D8S6300.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6300.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6302,ok,data/jpg/2019.4/_D8S6302.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6302.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6318,ok,data/jpg/2019.4/_D8S6318.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6318.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6354,ok,data/jpg/2019.4/_D8S6354.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6354.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6392,ok,data/jpg/2019.4/_D8S6392.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6392.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6406,ok,data/jpg/2019.4/_D8S6406.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6406.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6415,ok,data/jpg/2019.4/_D8S6415.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6415.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6419,ok,data/jpg/2019.4/_D8S6419.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6419.xmp
